k,memory_mb,gpu_memory_mb
1,1358.76171875,0.0
1,1358.76171875,0.0
1,1358.76171875,0.0
1,1358.76171875,0.0
1,1358.76171875,0.0
3,1652.09375,0.0
3,1652.09375,0.0
3,1652.09375,0.0
3,1652.09375,0.0
3,1652.09375,0.0
5,1812.48046875,0.0
5,1812.48046875,0.0
5,1812.48046875,0.0
5,1812.48046875,0.0
5,1812.48046875,0.0
7,1934.11328125,0.0
7,1934.11328125,0.0
7,1934.11328125,0.0
7,1934.11328125,0.0
7,1934.11328125,0.0
10,2086.39453125,0.0
10,2086.39453125,0.0
10,2086.39453125,0.0
10,2086.39453125,0.0
10,2086.39453125,0.0
